2017-12-07 06:20:52.990 [12833] LOG_ALARM -----------------  log4z thread started!   ---------------------------- log4z.cpp:1923
2017-12-07 06:26:44.016 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.63%} broadcast_server.cpp:169
2017-12-07 06:27:15.556 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.00%} broadcast_server.cpp:169
2017-12-07 06:27:36.565 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.09%} broadcast_server.cpp:169
2017-12-07 06:27:47.146 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.17%} broadcast_server.cpp:169
2017-12-07 06:27:58.135 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.14%} broadcast_server.cpp:169
2017-12-07 06:28:18.606 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.08%} broadcast_server.cpp:169
2017-12-07 06:28:29.365 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.58%} broadcast_server.cpp:169
2017-12-07 06:28:39.896 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:28:50.776 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.14%} broadcast_server.cpp:169
2017-12-07 06:29:00.986 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:29:11.805 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.14%} broadcast_server.cpp:169
2017-12-07 06:29:22.106 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:29:32.755 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.29%} broadcast_server.cpp:169
2017-12-07 06:29:43.536 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.14%} broadcast_server.cpp:169
2017-12-07 06:29:54.025 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:30:04.565 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:30:14.745 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.46%} broadcast_server.cpp:169
2017-12-07 06:30:25.325 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:30:35.725 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:30:46.295 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:30:56.905 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:31:06.815 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.31%} broadcast_server.cpp:169
2017-12-07 06:31:17.005 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.70%} broadcast_server.cpp:169
2017-12-07 06:31:27.535 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.18%} broadcast_server.cpp:169
2017-12-07 06:31:38.045 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.17%} broadcast_server.cpp:169
2017-12-07 06:31:48.565 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:31:59.285 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.29%} broadcast_server.cpp:169
2017-12-07 06:32:09.805 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.30%} broadcast_server.cpp:169
2017-12-07 06:32:31.005 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.07%} broadcast_server.cpp:169
2017-12-07 06:32:41.455 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:32:51.765 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.15%} broadcast_server.cpp:169
2017-12-07 06:33:23.165 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.05%} broadcast_server.cpp:169
2017-12-07 06:33:33.615 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.30%} broadcast_server.cpp:169
2017-12-07 06:33:44.385 [12835] LOG_TRACE recv UDP(1200):23, reply:{DEV_ID:1},{LOST:0.14%} broadcast_server.cpp:169
